,part_id,word,property,score,reaction_time,slider_order
284,6503093.0,rock,energy,2.0,72758.5,1
285,6503093.0,rock,communication,1.0,72758.5,1
286,6503093.0,rock,goal_setting,2.0,72758.5,1
287,6503093.0,rock,complexity,1.0,72758.5,1
288,6503093.0,rock,monitoring,2.0,72758.5,1
289,6503093.0,rock,reaction,67.0,72758.5,1
290,6503093.0,rock,variety,1.0,72758.5,1
291,6503093.0,rock,mistakes,0.0,72758.5,1
292,6503093.0,rock,learning,2.0,72758.5,1
293,6503093.0,rock,goal_directedness,2.0,72758.5,1
294,6503093.0,human,agency,50.0,71795.39999999851,1
295,6503093.0,human,movement,95.0,71795.39999999851,1
296,6503093.0,human,replication,97.0,71795.39999999851,1
297,6503093.0,human,freewill,56.0,71795.39999999851,1
298,6503093.0,human,energy,100.0,71795.39999999851,1
299,6503093.0,human,communication,99.0,71795.39999999851,1
300,6503093.0,human,goal_setting,99.0,71795.39999999851,1
301,6503093.0,human,complexity,96.0,71795.39999999851,1
302,6503093.0,human,monitoring,97.0,71795.39999999851,1
303,6503093.0,human,reaction,96.0,71795.39999999851,1
304,6503093.0,human,variety,96.0,71795.39999999851,1
305,6503093.0,human,mistakes,97.0,71795.39999999851,1
306,6503093.0,human,learning,95.0,71795.39999999851,1
307,6503093.0,human,goal_directedness,98.0,71795.39999999851,1
308,6503093.0,virtual_assistant,agency,2.0,36141.39999999851,1
309,6503093.0,virtual_assistant,movement,0.0,36141.39999999851,1
310,6503093.0,virtual_assistant,replication,0.0,36141.39999999851,1
311,6503093.0,virtual_assistant,freewill,2.0,36141.39999999851,1
312,6503093.0,virtual_assistant,energy,96.0,36141.39999999851,1
313,6503093.0,virtual_assistant,communication,48.0,36141.39999999851,1
314,6503093.0,virtual_assistant,goal_setting,0.0,36141.39999999851,1
315,6503093.0,virtual_assistant,complexity,47.0,36141.39999999851,1
316,6503093.0,virtual_assistant,monitoring,57.0,36141.39999999851,1
317,6503093.0,virtual_assistant,reaction,56.0,36141.39999999851,1
318,6503093.0,virtual_assistant,variety,75.0,36141.39999999851,1
319,6503093.0,virtual_assistant,mistakes,73.0,36141.39999999851,1
320,6503093.0,virtual_assistant,learning,55.0,36141.39999999851,1
321,6503093.0,virtual_assistant,goal_directedness,6.0,36141.39999999851,1
322,6503093.0,computer_virus,agency,8.0,27736.40000000596,1
323,6503093.0,computer_virus,movement,9.0,27736.40000000596,1
324,6503093.0,computer_virus,replication,33.0,27736.40000000596,1
325,6503093.0,computer_virus,freewill,0.0,27736.40000000596,1
326,6503093.0,computer_virus,energy,98.0,27736.40000000596,1
327,6503093.0,computer_virus,communication,14.0,27736.40000000596,1
