Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616764698,19/01/2022 18:26:04,1642616764307,-7,19/01/2022 11:26:04,70408,19,questionnaire-vssi,,18653580,613a639002c088d7e68b80a9,5521561,,complete,,61e8556af42386089beadfaf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616766763,19/01/2022 18:26:06,1642616766427,-7,19/01/2022 11:26:06,70408,19,questionnaire-vssi,,18653580,613a639002c088d7e68b80a9,5521561,,complete,,61e8556af42386089beadfaf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,goodbye,1,No,END QUESTIONNAIRE,2120
1,1642616769128,19/01/2022 18:26:09,1642616767430,0,19/01/2022 18:26:07,70408,19,questionnaire-vssi,,18653586,5e95b5ae0295ea01d7ce532b,5521604,,complete,,61e85575a977e216142c2918,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x941,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616770720,19/01/2022 18:26:10,1642616769055,0,19/01/2022 18:26:09,70408,19,questionnaire-vssi,,18653586,5e95b5ae0295ea01d7ce532b,5521604,,complete,,61e85575a977e216142c2918,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x941,,goodbye,1,No,END QUESTIONNAIRE,1625
1,1642616777113,19/01/2022 18:26:17,1642616777869,0,19/01/2022 18:26:17,70408,19,questionnaire-vssi,,18653591,60e1c5e1e506ceb7e0d46bae,5521618,,complete,,61e856169f0252cd309e1ec8,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1280x720,1280x577,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616778488,19/01/2022 18:26:18,1642616779313,0,19/01/2022 18:26:19,70408,19,questionnaire-vssi,,18653591,60e1c5e1e506ceb7e0d46bae,5521618,,complete,,61e856169f0252cd309e1ec8,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1280x720,1280x577,,goodbye,1,No,END QUESTIONNAIRE,1444
1,1642616789971,19/01/2022 18:26:29,1642616788701,1,19/01/2022 19:26:28,70408,19,questionnaire-vssi,,18653598,60143a1a222eb43daf203877,5521587,,complete,,61e855ce0e5182067012072c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x961,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616791817,19/01/2022 18:26:31,1642616790567,1,19/01/2022 19:26:30,70408,19,questionnaire-vssi,,18653598,60143a1a222eb43daf203877,5521587,,complete,,61e855ce0e5182067012072c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x961,,goodbye,1,No,END QUESTIONNAIRE,1866
1,1642616801877,19/01/2022 18:26:41,1642616801683,-5,19/01/2022 13:26:41,70408,19,questionnaire-vssi,,18653607,60ff113dd2eee15e8f4dfeee,5521591,,complete,,61e855d114c4bf384c9ac788,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1269x690,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616805581,19/01/2022 18:26:45,1642616805428,-5,19/01/2022 13:26:45,70408,19,questionnaire-vssi,,18653607,60ff113dd2eee15e8f4dfeee,5521591,,complete,,61e855d114c4bf384c9ac788,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1269x690,,goodbye,1,No,END QUESTIONNAIRE,3745
