Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616223359,19/01/2022 18:17:03,1642616219544,0,19/01/2022 18:16:59,70408,19,questionnaire-hy6v,,18653205,5ebc6f18c323480b94409c78,5521570,,complete,,61e85590dbc41b8b164d581c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x629,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616232726,19/01/2022 18:17:12,1642616228977,0,19/01/2022 18:17:08,70408,19,questionnaire-hy6v,,18653205,5ebc6f18c323480b94409c78,5521570,,complete,,61e85590dbc41b8b164d581c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x629,,Consent form,3,No,ConsentFlag,1
3,1642616232843,19/01/2022 18:17:12,1642616228980,0,19/01/2022 18:17:08,70408,19,questionnaire-hy6v,,18653205,5ebc6f18c323480b94409c78,5521570,,complete,,61e85590dbc41b8b164d581c,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x629,,Consent form,3,No,END QUESTIONNAIRE,9436
1,1642616233322,19/01/2022 18:17:13,1642616232949,0,19/01/2022 18:17:12,70408,19,questionnaire-hy6v,,18653216,611ae4c41ac95c70c7d2e67b,5521573,,complete,,61e85599223726ba66f865cf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1600x900,1600x789,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616248052,19/01/2022 18:17:28,1642616247615,0,19/01/2022 18:17:27,70408,19,questionnaire-hy6v,,18653216,611ae4c41ac95c70c7d2e67b,5521573,,complete,,61e85599223726ba66f865cf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1600x900,1583x789,,Consent form,3,No,ConsentFlag,1
3,1642616248129,19/01/2022 18:17:28,1642616247617,0,19/01/2022 18:17:27,70408,19,questionnaire-hy6v,,18653216,611ae4c41ac95c70c7d2e67b,5521573,,complete,,61e85599223726ba66f865cf,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1600x900,1583x789,,Consent form,3,No,END QUESTIONNAIRE,14668
1,1642616243379,19/01/2022 18:17:23,1642616243292,0,19/01/2022 18:17:23,70408,19,questionnaire-hy6v,,18653226,5c38642b1ede2b0001156a1b,5521577,,complete,,61e855aa90a33803cd726173,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1196x837,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616248605,19/01/2022 18:17:28,1642616248540,0,19/01/2022 18:17:28,70408,19,questionnaire-hy6v,,18653226,5c38642b1ede2b0001156a1b,5521577,,complete,,61e855aa90a33803cd726173,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1181x837,,Consent form,3,No,ConsentFlag,1
3,1642616248666,19/01/2022 18:17:28,1642616248543,0,19/01/2022 18:17:28,70408,19,questionnaire-hy6v,,18653226,5c38642b1ede2b0001156a1b,5521577,,complete,,61e855aa90a33803cd726173,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.0,1440x900,1181x837,,Consent form,3,No,END QUESTIONNAIRE,5251
1,1642616257484,19/01/2022 18:17:37,1642616257350,2,19/01/2022 20:17:37,70408,19,questionnaire-hy6v,,18653235,6163f0438cdf8e3d44667f2f,5521578,,complete,,61e8559b884943b8b0b9be78,computer,Desktop or Laptop,Windows 10,Opera 82.0.4227.50,1536x864,1183x794,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616286503,19/01/2022 18:18:06,1642616286408,2,19/01/2022 20:18:06,70408,19,questionnaire-hy6v,,18653235,6163f0438cdf8e3d44667f2f,5521578,,complete,,61e8559b884943b8b0b9be78,computer,Desktop or Laptop,Windows 10,Opera 82.0.4227.50,1536x864,1169x794,,Consent form,3,No,ConsentFlag,1
3,1642616286628,19/01/2022 18:18:06,1642616286410,2,19/01/2022 20:18:06,70408,19,questionnaire-hy6v,,18653235,6163f0438cdf8e3d44667f2f,5521578,,complete,,61e8559b884943b8b0b9be78,computer,Desktop or Laptop,Windows 10,Opera 82.0.4227.50,1536x864,1169x794,,Consent form,3,No,END QUESTIONNAIRE,29061
1,1642616271230,19/01/2022 18:17:51,1642616270542,2,19/01/2022 20:17:50,70408,19,questionnaire-hy6v,,18653240,6166ef334de9e433e83bfb79,5521582,,complete,,61e8559a4d3aa7f6ceb12bca,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x657,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616288315,19/01/2022 18:18:08,1642616287697,2,19/01/2022 20:18:07,70408,19,questionnaire-hy6v,,18653240,6166ef334de9e433e83bfb79,5521582,,complete,,61e8559a4d3aa7f6ceb12bca,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,ConsentFlag,1
3,1642616288691,19/01/2022 18:18:08,1642616287699,2,19/01/2022 20:18:07,70408,19,questionnaire-hy6v,,18653240,6166ef334de9e433e83bfb79,5521582,,complete,,61e8559a4d3aa7f6ceb12bca,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x657,,Consent form,3,No,END QUESTIONNAIRE,17157
1,1642616272167,19/01/2022 18:17:52,1642616272527,2,19/01/2022 20:17:52,70408,19,questionnaire-hy6v,,18653244,5ea352855d02232c906f62d8,5521583,,complete,,61e855ab445cf7787765af52,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x663,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616420443,19/01/2022 18:20:20,1642616420858,2,19/01/2022 20:20:20,70408,19,questionnaire-hy6v,,18653244,5ea352855d02232c906f62d8,5521583,,complete,,61e855ab445cf7787765af52,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1349x663,,Consent form,3,No,ConsentFlag,1
