part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136168.0,autonomous_car,1.0,3.0,-3.0,3.0,3.0,3.0,3.0,-3.0,,-2.0
6136168.0,computer,1.0,2.0,-1.0,2.0,3.0,3.0,3.0,-3.0,2.0,
6136173.0,jelly_fish,,-2.0,-2.0,2.0,3.0,-3.0,2.0,-2.0,-2.0,-2.0
6136173.0,robot,2.0,,2.0,3.0,3.0,2.0,3.0,-1.0,-1.0,-2.0
6136173.0,virus,2.0,-2.0,,2.0,3.0,-2.0,2.0,-3.0,-2.0,-2.0
6136173.0,chimpanzee,-2.0,-3.0,-2.0,,3.0,-3.0,-3.0,-3.0,-3.0,-3.0
6136173.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136173.0,artificial_intelligence,3.0,-2.0,2.0,3.0,3.0,,2.0,-3.0,-2.0,-2.0
6136173.0,god,-2.0,-3.0,-2.0,3.0,3.0,-2.0,,-2.0,-2.0,-3.0
6136173.0,rock,2.0,1.0,3.0,3.0,3.0,3.0,2.0,,2.0,2.0
6136173.0,autonomous_car,2.0,1.0,2.0,3.0,3.0,2.0,2.0,-2.0,,-1.0
6136173.0,computer,2.0,2.0,2.0,3.0,3.0,2.0,3.0,-2.0,1.0,
6136165.0,jelly_fish,,-2.0,-2.0,2.0,2.0,-2.0,3.0,-3.0,-2.0,-2.0
6136165.0,robot,2.0,,1.0,3.0,3.0,1.0,3.0,-2.0,1.0,1.0
6136165.0,virus,2.0,-1.0,,3.0,3.0,1.0,3.0,-3.0,-1.0,-1.0
6136165.0,chimpanzee,-2.0,-3.0,-3.0,,2.0,-3.0,3.0,-3.0,-3.0,-3.0
6136165.0,human,-2.0,-3.0,-3.0,-2.0,,-3.0,-1.0,-3.0,-3.0,-3.0
6136165.0,artificial_intelligence,2.0,-1.0,-1.0,3.0,3.0,,3.0,-2.0,-1.0,-1.0
6136165.0,god,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,,-3.0,-3.0,-3.0
6136165.0,rock,3.0,2.0,3.0,3.0,3.0,2.0,3.0,,2.0,2.0
6136165.0,autonomous_car,2.0,-1.0,1.0,3.0,3.0,1.0,3.0,-2.0,,1.0
6136165.0,computer,2.0,-1.0,1.0,3.0,3.0,1.0,3.0,-2.0,-1.0,
6136167.0,jelly_fish,,-2.0,-2.0,2.0,3.0,-2.0,3.0,-2.0,-2.0,-2.0
6136167.0,robot,2.0,,2.0,2.0,3.0,2.0,3.0,-2.0,-2.0,-2.0
6136167.0,virus,2.0,-2.0,,2.0,3.0,3.0,3.0,-2.0,-2.0,-2.0
6136167.0,chimpanzee,-2.0,-2.0,-2.0,,3.0,-2.0,3.0,-3.0,-2.0,-2.0
6136167.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,3.0,-3.0,-3.0,-3.0
6136167.0,artificial_intelligence,2.0,-2.0,-3.0,2.0,3.0,,3.0,-2.0,-2.0,-2.0
6136167.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136167.0,rock,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,2.0,1.0
6136167.0,autonomous_car,2.0,2.0,2.0,2.0,3.0,2.0,3.0,-2.0,,-2.0
6136167.0,computer,2.0,2.0,2.0,2.0,3.0,2.0,3.0,-1.0,2.0,
6136183.0,jelly_fish,,-2.0,-1.0,3.0,3.0,-1.0,3.0,-2.0,-2.0,-2.0
6136183.0,robot,2.0,,-2.0,3.0,3.0,1.0,3.0,-3.0,1.0,2.0
6136183.0,virus,1.0,2.0,,3.0,2.0,1.0,3.0,-1.0,-2.0,-2.0
6136183.0,chimpanzee,-3.0,-3.0,-3.0,,1.0,-3.0,1.0,-3.0,-3.0,-3.0
6136183.0,human,-3.0,-3.0,-2.0,-1.0,,-3.0,1.0,-3.0,-3.0,-3.0
6136183.0,artificial_intelligence,1.0,-1.0,-1.0,3.0,3.0,,3.0,-2.0,-2.0,-1.0
6136183.0,god,-3.0,-3.0,-3.0,-1.0,-1.0,-3.0,,-3.0,-3.0,-3.0
6136183.0,rock,2.0,3.0,1.0,3.0,3.0,2.0,3.0,,2.0,1.0
6136183.0,autonomous_car,2.0,-1.0,2.0,3.0,3.0,2.0,3.0,-2.0,,1.0
